"rgn_id","product","year","gapfilled","method"
6,"corals",2000,1,"prod_average"
7,"corals",2000,1,"prod_average"
6,"corals",2001,1,"prod_average"
7,"corals",2001,1,"prod_average"
6,"corals",2002,1,"prod_average"
7,"corals",2002,1,"prod_average"
6,"corals",2003,1,"prod_average"
7,"corals",2003,1,"prod_average"
6,"corals",2004,1,"prod_average"
7,"corals",2004,1,"prod_average"
6,"corals",2005,1,"prod_average"
7,"corals",2005,1,"prod_average"
6,"corals",2006,1,"prod_average"
7,"corals",2006,1,"prod_average"
6,"corals",2007,1,"prod_average"
7,"corals",2007,1,"prod_average"
6,"corals",2008,1,"prod_average"
7,"corals",2008,1,"prod_average"
6,"corals",2009,1,"prod_average"
7,"corals",2009,1,"prod_average"
6,"corals",2010,1,"prod_average"
7,"corals",2010,1,"prod_average"
6,"corals",2011,1,"prod_average"
7,"corals",2011,1,"prod_average"
6,"corals",2012,1,"prod_average"
7,"corals",2012,1,"prod_average"
6,"corals",2013,1,"prod_average"
7,"corals",2013,1,"prod_average"
6,"corals",2014,1,"prod_average"
7,"corals",2014,1,"prod_average"
6,"corals",2015,1,"prod_average"
7,"corals",2015,1,"prod_average"
6,"corals",2016,1,"prod_average"
7,"corals",2016,1,"prod_average"
6,"corals",2017,1,"prod_average"
7,"corals",2017,1,"prod_average"
6,"corals",2018,1,"prod_average"
7,"corals",2018,1,"prod_average"
6,"corals",2019,1,"prod_average"
7,"corals",2019,1,"prod_average"
6,"seaweeds",2000,1,"prod_average"
7,"seaweeds",2000,1,"prod_average"
6,"seaweeds",2001,1,"prod_average"
7,"seaweeds",2001,1,"prod_average"
6,"seaweeds",2002,1,"prod_average"
7,"seaweeds",2002,1,"prod_average"
6,"seaweeds",2003,1,"prod_average"
7,"seaweeds",2003,1,"prod_average"
6,"seaweeds",2004,1,"prod_average"
7,"seaweeds",2004,1,"prod_average"
6,"seaweeds",2005,1,"prod_average"
7,"seaweeds",2005,1,"prod_average"
6,"seaweeds",2006,1,"prod_average"
7,"seaweeds",2006,1,"prod_average"
6,"seaweeds",2007,0,NA
7,"seaweeds",2007,0,NA
6,"seaweeds",2008,0,NA
7,"seaweeds",2008,0,NA
6,"seaweeds",2009,0,NA
7,"seaweeds",2009,0,NA
6,"seaweeds",2010,0,NA
7,"seaweeds",2010,0,NA
6,"seaweeds",2011,0,NA
7,"seaweeds",2011,0,NA
6,"seaweeds",2012,0,NA
7,"seaweeds",2012,0,NA
6,"seaweeds",2013,0,NA
7,"seaweeds",2013,0,NA
6,"seaweeds",2014,0,NA
7,"seaweeds",2014,0,NA
6,"seaweeds",2015,0,NA
7,"seaweeds",2015,0,NA
6,"seaweeds",2016,0,NA
7,"seaweeds",2016,0,NA
6,"seaweeds",2017,0,NA
7,"seaweeds",2017,0,NA
6,"seaweeds",2018,0,NA
7,"seaweeds",2018,0,NA
6,"seaweeds",2019,0,NA
7,"seaweeds",2019,0,NA
6,"ornamentals",2007,0,NA
7,"ornamentals",2007,0,NA
6,"ornamentals",2008,0,NA
7,"ornamentals",2008,0,NA
6,"ornamentals",2009,0,NA
7,"ornamentals",2009,0,NA
6,"ornamentals",2010,0,NA
7,"ornamentals",2010,0,NA
6,"ornamentals",2011,0,NA
7,"ornamentals",2011,0,NA
6,"ornamentals",2012,0,NA
7,"ornamentals",2012,0,NA
6,"ornamentals",2013,0,NA
7,"ornamentals",2013,0,NA
6,"ornamentals",2014,0,NA
7,"ornamentals",2014,0,NA
6,"ornamentals",2015,0,NA
7,"ornamentals",2015,0,NA
6,"ornamentals",2016,0,NA
7,"ornamentals",2016,0,NA
6,"ornamentals",2017,0,NA
7,"ornamentals",2017,0,NA
6,"ornamentals",2018,0,NA
7,"ornamentals",2018,0,NA
6,"ornamentals",2019,0,NA
7,"ornamentals",2019,0,NA
